country_name,continent,latitude,longitude
Slovakia,Europe,48.66903,19.69902
Slovenia,Europe,46.15124,14.99546
Solomon Islands,Oceania,-9.64571,160.1562
Somalia,Africa,5.152149,46.19962
South Africa,Africa,-30.5595,22.93751
South Sudan,Africa,6.876992,31.30698
Spain,Europe,40.46367,-3.74922
Sri Lanka,Asia,7.873054,80.7718
Sudan,Africa,12.86281,30.21764
Suriname,South America,3.919305,-56.0278
Sweden,Europe,60.12816,18.6435
Switzerland,Europe,46.81819,8.227512
Syria,Asia,34.80208,38.99682
Taiwan,Asia,23.69781,120.9605
Tajikistan,Asia,38.86103,71.27609
Tanzania,Africa,-6.36903,34.88882
Thailand,Asia,15.87003,100.9925
Togo,Africa,8.619543,0.824782
Tonga,Oceania,-21.179,-175.198
Trinidad and Tobago,North America,10.6918,-61.2225
Tunisia,Africa,33.88692,9.537499
Turkey,Asia,38.96375,35.24332
Turkmenistan,Asia,38.96972,59.55628
Tuvalu,Oceania,-7.10954,177.6493
Uganda,Africa,1.373333,32.29028
Ukraine,Europe,48.37943,31.16558
United Arab Emirates,Asia,23.42408,53.84782
United Kingdom,Europe,55.37805,-3.43597
United States,North America,37.09024,-95.7129
Uruguay,South America,-32.5228,-55.7658
Uzbekistan,Asia,41.37749,64.58526
Vanuatu,Oceania,-15.3767,166.9592
Vatican City,Europe,41.90292,12.45339
Venezuela,South America,6.42375,-66.5897
Vietnam,Asia,14.05832,108.2772
Yemen,Asia,15.55273,48.51639
Zambia,Africa,-13.1339,27.84933
Zimbabwe,Africa,-19.0154,29.15485
